Номер задачи,Время нахождения первого решения,Время нахождения всех решений,Число решений
276,0.953733,13.0384,1
294,4.335949,12.2103,1
330,4.753627,13.0142,1
303,0.287463,12.6539,1
285,0.000762,12.6663,1
321,1.779674,12.328,1
312,0.001028,11.7905,1
339,4.854356,12.3251,1
348,0.024483,12.8104,1
357,0.016028,12.2955,1
366,0.001352,12.7396,1
393,0.032545,12.4443,1
384,0.002405,13.0362,1
375,0.037628,13.3043,1
402,1.301644,12.1516,1
277,0.000767,12.7945,1
295,0.539794,12.5725,1
331,0.027348,12.6649,1
304,2.03856,13.2827,1
322,3.99471,13.0248,1
286,2.077544,12.6511,1
313,2.137536,13.236,1
340,0.024715,12.1816,1
349,0.000518,13.3437,1
358,0.005083,13.0578,1
367,0.065089,13.2282,1
385,0.242958,13.2149,1
394,0.179636,12.3585,1
376,0.007472,13.3315,1
403,1.481585,12.7106,1
278,0.027894,12.1507,1
296,0.119406,12.4362,1
332,4.821006,12.8664,1
305,0.589738,12.5196,1
323,0.002589,12.2065,1
287,0.006999,12.2834,1
314,2.391951,12.7857,1
341,0.872493,12.6797,1
350,0.359234,11.9014,1
359,0.186784,12.37,1
368,2.316069,13.2488,1
386,3.867718,12.5312,1
395,4.984412,13.237,1
377,0.046022,12.7489,1
404,1.793366,13.1376,1
279,0.017512,12.1519,1
333,0.602642,12.7262,1
297,0.132777,12.8451,1
324,0.13159,12.8167,1
306,0.074319,12.0135,1
288,1.578112,12.2321,1
315,2.231499,12.7509,1
351,0.081814,12.9189,1
342,1.958778,12.4549,1
360,2.219167,12.1685,1
369,4.253986,12.6952,1
387,0.00841,12.7363,1
396,2.65899,12.6707,1
378,0.03906,13.1938,1
405,0.006586,12.7101,1
406,0.000185,12.4089,1
415,0.000055,12.7443,1
424,3.031794,12.498,1
433,0.00761,12.3755,1
442,4.894562,12.5195,1
451,0.000808,12.5093,1
460,0.395675,12.6163,1
469,0.269696,12.7362,1
478,0.356869,12.855,1
487,1.061213,12.6001,1
496,0.255707,12.1406,1
407,0.004217,12.4593,1
416,0.880042,12.312,1
425,4.93345,12.5369,1
443,0.153844,12.6595,1
452,2.639193,12.3716,1
434,0.000316,12.6802,1
461,0.173448,12.624,1
470,2.426023,12.5031,1
479,0.000748,12.0759,1
488,0.714625,12.523,1
497,0.003411,12.4916,1
408,1.167058,12.1111,1
417,0.038657,12.4876,1
426,0.124742,12.7469,1
444,0.00122,12.586,1
453,0.010287,12.7293,1
435,3.483349,13.6773,1
462,0.00631,12.6636,1
471,0.006451,12.665,1
480,4.072365,13.0443,1
489,0.002459,12.7296,1
498,0.00166,12.7663,1
409,0.032549,11.6703,1
427,0.001246,13.0334,1
418,0.012561,13.0529,1
454,4.855809,12.8432,1
445,0.040247,12.4653,1
436,0.16971,12.402,1
463,0.061069,12.104,1
