Номер задачи,Время работы алгортима,Достигнутый минимум фитнесс-функции,Причина остановки алгоритма,Номер последнего поколения
360,1.111343,1417861,Нет улучшений на последних двух итерациях,555
342,1.436809,2227181,Нет улучшений на последних двух итерациях,708
369,1.246682,1489612,Нет улучшений на последних двух итерациях,618
395,1.992948,2286424,Достигнуто максимальное число поколений,1000
416,0.963247,448056,Нет улучшений на последних двух итерациях,510
451,1.143172,1128081,Нет улучшений на последних двух итерациях,582
408,1.220449,684097,Нет улучшений на последних двух итерациях,613
434,1.143414,382244,Нет улучшений на последних двух итерациях,565
425,1.395807,556187,Нет улучшений на последних двух итерациях,696
460,1.363469,1367313,Нет улучшений на последних двух итерациях,691
478,0.903774,90809,Нет улучшений на последних двух итерациях,526
443,0.984517,295328,Нет улучшений на последних двух итерациях,525
333,1.374901,1971416,Нет улучшений на последних двух итерациях,712
378,1.738055,1528098,Нет улучшений на последних двух итерациях,916
496,0.873188,617883,Нет улучшений на последних двух итерациях,523
469,1.422286,31644,Нет улучшений на последних двух итерациях,800
396,0.847334,293891,Нет улучшений на последних двух итерациях,515
405,1.757054,2936813,Достигнуто максимальное число поколений,1000
487,1.310853,3732848,Нет улучшений на последних двух итерациях,765
417,0.996672,6139275,Нет улучшений на последних двух итерациях,663
479,0.709238,614924,Нет улучшений на последних двух итерациях,526
409,0.986159,274949,Нет улучшений на последних двух итерациях,681
452,1.171808,379932,Нет улучшений на последних двух итерациях,765
461,0.946919,2755453,Нет улучшений на последних двух итерациях,666
444,1.026362,2113236,Нет улучшений на последних двух итерациях,733
470,0.681994,2502076,Нет улучшений на последних двух итерациях,553
426,1.265719,865299,Нет улучшений на последних двух итерациях,936
435,1.355762,3741786,Нет улучшений на последних двух итерациях,947
480,0.626026,1177458,Нет улучшений на последних двух итерациях,505
497,1.031914,827395,Нет улучшений на последних двух итерациях,762
488,1.066693,589453,Нет улучшений на последних двух итерациях,819
453,0.767089,542893,Нет улучшений на последних двух итерациях,597
418,0.955059,518272,Нет улучшений на последних двух итерациях,743
410,0.895843,137858,Нет улучшений на последних двух итерациях,715
471,0.654567,1039454,Нет улучшений на последних двух итерациях,511
462,0.776096,160250,Нет улучшений на последних двух итерациях,602
427,0.732788,334877,Нет улучшений на последних двух итерациях,505
498,0.689128,153562,Нет улучшений на последних двух итерациях,500
436,0.883876,718452,Нет улучшений на последних двух итерациях,625
481,1.056204,153202,Нет улучшений на последних двух итерациях,716
454,0.766598,1466485,Нет улучшений на последних двух итерациях,529
445,1.409726,2823523,Достигнуто максимальное число поколений,1000
489,0.868761,3685714,Нет улучшений на последних двух итерациях,620
411,0.869112,2630564,Нет улучшений на последних двух итерациях,595
428,0.785198,815635,Нет улучшений на последних двух итерациях,565
419,1.093248,1993366,Нет улучшений на последних двух итерациях,735
463,1.018865,269090,Нет улучшений на последних двух итерациях,689
499,1.065583,1237057,Нет улучшений на последних двух итерациях,670
472,1.494651,750860,Достигнуто максимальное число поколений,1000
455,0.840082,40451,Нет улучшений на последних двух итерациях,572
482,0.914071,142921,Нет улучшений на последних двух итерациях,636
437,1.224982,1784756,Нет улучшений на последних двух итерациях,825
446,0.899120,150967,Нет улучшений на последних двух итерациях,631
490,1.040217,158601,Нет улучшений на последних двух итерациях,743
412,1.131591,953427,Нет улучшений на последних двух итерациях,817
500,0.677649,2253860,Нет улучшений на последних двух итерациях,531
464,1.152904,730645,Нет улучшений на последних двух итерациях,873
447,0.651943,825735,Нет улучшений на последних двух итерациях,543
420,1.282757,1092204,Достигнуто максимальное число поколений,1000
429,1.321697,891076,Достигнуто максимальное число поколений,1000
456,0.809171,184365,Нет улучшений на последних двух итерациях,679
483,0.960038,1457574,Нет улучшений на последних двух итерациях,811
491,0.844821,5045431,Нет улучшений на последних двух итерациях,697
473,1.215883,580722,Достигнуто максимальное число поколений,1000
465,0.669167,2730139,Нет улучшений на последних двух итерациях,584
438,1.244731,2435437,Достигнуто максимальное число поколений,1000
421,0.600409,319309,Нет улучшений на последних двух итерациях,508
430,0.626808,664027,Нет улучшений на последних двух итерациях,544
413,1.088044,1894651,Нет улучшений на последних двух итерациях,925
448,0.756312,1733046,Нет улучшений на последних двух итерациях,652
492,0.642607,29819,Нет улучшений на последних двух итерациях,515
439,0.636684,3197778,Нет улучшений на последних двух итерациях,534
457,1.153115,2502371,Достигнуто максимальное число поколений,1000
431,0.617684,942559,Нет улучшений на последних двух итерациях,529
484,1.177774,53083,Достигнуто максимальное число поколений,1000
449,0.706540,563268,Нет улучшений на последних двух итерациях,613
422,0.845709,139494,Нет улучшений на последних двух итерациях,711
414,0.877496,885592,Нет улучшений на последних двух итерациях,743
474,1.234808,1612936,Достигнуто максимальное число поколений,1000
493,0.711317,358805,Нет улучшений на последних двух итерациях,615
466,1.156076,2598326,Достигнуто максимальное число поколений,1000
440,0.629466,506336,Нет улучшений на последних двух итерациях,545
458,0.667114,928534,Нет улучшений на последних двух итерациях,579
485,0.600950,4663049,Нет улучшений на последних двух итерациях,539
467,0.590650,739096,Нет улучшений на последних двух итерациях,537
494,0.609437,483423,Нет улучшений на последних двух итерациях,561
475,0.700432,440842,Нет улучшений на последних двух итерациях,635
432,1.138179,1121924,Достигнуто максимальное число поколений,1000
450,0.989847,4382055,Нет улучшений на последних двух итерациях,861
441,0.647684,3204903,Нет улучшений на последних двух итерациях,582
423,1.080325,465276,Достигнуто максимальное число поколений,1000
459,0.923245,1357573,Нет улучшений на последних двух итерациях,929
468,0.575001,940914,Нет улучшений на последних двух итерациях,633
476,0.597418,1749170,Нет улучшений на последних двух итерациях,663
486,0.921335,1348744,Достигнуто максимальное число поколений,1000
495,0.853163,2779677,Достигнуто максимальное число поколений,1000
477,0.526018,268533,Нет улучшений на последних двух итерациях,651
